Treatment,Concentration,Infested,Mortality,Trial
Fairfax,0,30,0,1
Fairfax,2,48,12,1
Fairfax,3,50,15,1
Fairfax,5,50,31,1
Fairfax,7,48,31,1
Fairfax,10,59,52,1
Pixley,0,350,7,1
Pixley,10,70,22,1
Pixley,20,70,38,1
Pixley,30,50,38,1
Pixley,50,50,48,1
Schaefer,0,60,0,1
Schaefer,2,60,15,1
Schaefer,3,120,41,1
Schaefer,5,60,39,1
Schaefer,10,120,110,1
Schaefer,50,120,119,1
Fort-Dix,0,180,0,2
Fort-Dix,0.05,180,48,2
Fort-Dix,0.2,180,75,2
Fort-Dix,0.5,180,105,2
Fort-Dix,6,180,136,2
Fort-Dix,30,180,170,2
JerseyCity,0,180,0,2
JerseyCity,50,180,53,2
JerseyCity,100,180,65,2
JerseyCity,500,180,78,2
JerseyCity,5000,180,83,2
JerseyCity,20000,180,90,2
Cincinnati,0,180,0,2
Cincinnati,5,180,47,2
Cincinnati,25,180,51,2
Cincinnati,50,180,76,2
Cincinnati,100,180,86,2
Cincinnati,20000,180,105,2
GCSC-BtA,0,180,3,3
GCSC-BtA,0.04,180,119,3
GCSC-BtA,0.08,180,155,3
GCSC-BtA,0.2,180,168,3
GCSC-BtA,0.4,180,177,3
GCSC-BtA,4,180,180,3
BtA,0,180,4,3
BtA,0.04,180,83,3
BtA,0.08,180,90,3
BtA,0.2,180,120,3
BtA,0.4,180,144,3
BtA,4,180,163,3
Abamectin,0,180,0,3
Abamectin,0.04,180,48,3
Abamectin,0.08,180,72,3
Abamectin,0.2,180,102,3
Abamectin,0.4,180,138,3
Abamectin,4,180,156,3
Deltam,0,180,0,4
Deltam,0.05,180,48,4
Deltam,0.2,180,75,4
Deltam,0.5,180,105,4
Deltam,6,180,136,4
Deltam,30,180,170,4
Deltam_PBO,0,180,0,4
Deltam_PBO,0.05,60,13,4
Deltam_PBO,0.2,60,24,4
Deltam_PBO,0.5,60,28,4
Deltam_PBO,6,60,43,4
Deltam_PBO,30,60,52,4
Deltam_DEM,0,180,0,4
Deltam_DEM,0.05,60,18,4
Deltam_DEM,0.2,60,27,4
Deltam_DEM,0.5,60,35,4
Deltam_DEM,6,60,53,4
Deltam_DEM,30,60,59,4
Deltam_DEF,0,180,0,4
Deltam_DEF,0.05,60,16,4
Deltam_DEF,0.2,60,19,4
Deltam_DEF,0.5,60,30,4
Deltam_DEF,6,60,43,4
Deltam_DEF,30,60,55,4
Deltam,0,180,0,5
Deltam,50,180,53,5
Deltam,100,180,65,5
Deltam,500,180,78,5
Deltam,5000,180,83,5
Deltam,20000,180,90,5
Deltam_PBO,0,180,0,5
Deltam_PBO,50,60,19,5
Deltam_PBO,100,60,22,5
Deltam_PBO,500,60,36,5
Deltam_PBO,5000,60,38,5
Deltam_PBO,20000,60,53,5
Deltam_DEM,0,180,0,5
Deltam_DEM,50,60,24,5
Deltam_DEM,100,60,26,5
Deltam_DEM,500,60,32,5
Deltam_DEM,5000,60,34,5
Deltam_DEM,20000,60,36,5
Deltam_DEF,0,180,0,5
Deltam_DEF,50,60,25,5
Deltam_DEF,100,60,35,5
Deltam_DEF,500,60,38,5
Deltam_DEF,5000,60,44,5
Deltam_DEF,20000,60,51,5
BugRes,0,60,3,6
BugRes,3,60,9,6
BugRes,10,60,19,6
BugRes,20,60,32,6
BugRes,40,60,38,6
BugRes,50,60,46,6
BugLab,0,60,5,6
BugLab,0.03,30,7,6
BugLab,0.1,30,7,6
BugLab,0.3,30,6,6
BugLab,1,30,3,6
BugLab,3,30,3,6
BugLab,7,30,10,6
BugLab,10,60,32,6
BugLab,15,30,22,6
BugLab,20,30,30,6
